run_combo,n_models,blend_mode,temperature,weights,oof_macro_f1,submission_fp
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3635, 'baseline_convnext_tiny_img320_20260328_233846': 0.1448, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4917}",0.9212225393751129,8b82c024d1852e43682c78fb43f08774
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.352, 'baseline_convnext_tiny_img320_20260328_233846': 0.1628, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4852}",0.9212225393751129,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.352, 'baseline_convnext_tiny_img320_20260328_233846': 0.1628, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4852}",0.9212225393751129,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.352, 'baseline_convnext_tiny_img320_20260328_233846': 0.1628, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4852}",0.9212225393751129,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3653, 'baseline_convnext_tiny_img320_20260328_233846': 0.1658, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4689}",0.9212225393751129,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3653, 'baseline_convnext_tiny_img320_20260328_233846': 0.1658, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4689}",0.9212225393751129,f79bc72fb664fe1109dca8d48e21218e
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.3635, 'baseline_convnext_tiny_img320_20260328_233846': 0.1448, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.4917}",0.9212225393751129,8b82c024d1852e43682c78fb43f08774
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3}",0.9210825668194573,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3}",0.9210825668194573,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4, 'baseline_convnext_tiny_img320_20260328_233846': 0.3, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.3}",0.9210825668194573,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4855, 'baseline_convnext_tiny_img320_20260328_233846': 0.2732, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2414}",0.9209685508799045,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4855, 'baseline_convnext_tiny_img320_20260328_233846': 0.2732, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2414}",0.9209685508799045,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.0,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4855, 'baseline_convnext_tiny_img320_20260328_233846': 0.2732, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2414}",0.9209685508799045,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,arith,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4855, 'baseline_convnext_tiny_img320_20260328_233846': 0.2732, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2414}",0.9209685508799045,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,1.05,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4855, 'baseline_convnext_tiny_img320_20260328_233846': 0.2732, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2414}",0.9209685508799045,fad3d045380706976647d6b5d9441977
baseline_efficientnet_b3_img288_20260328_213015 | baseline_convnext_tiny_img320_20260328_233846 | baseline_resnext50_32x4d_img224_20260328_222704,3,geom,0.95,"{'baseline_efficientnet_b3_img288_20260328_213015': 0.4855, 'baseline_convnext_tiny_img320_20260328_233846': 0.2732, 'baseline_resnext50_32x4d_img224_20260328_222704': 0.2414}",0.9209685508799045,fad3d045380706976647d6b5d9441977
